cd_linha	trip_id	dc_itinerario_longo	
33707	2725-10-1	JD. SAO CARLOS	
33708	2726-10-1	LIMOEIRO	
940	2726-10-0	METRO PENHA	
942	2727-10-0	CONJ. A. E. CARVALHO	
33710	2727-10-1	METRÔ ARTUR ALVIM	
33711	2728-10-1	JD. DO CASTELO	
943	2728-10-0	METRO PENHA	
705	272N-10-0	PQ. D.PEDRO II	
33473	272N-10-1	PQ. NOVO MUNDO	
33713	2730-10-1	VILA JACUI	
945	2730-10-0	METRO ARTUR ALVIM	
946	2731-10-0	METRO ITAQUERA	
33714	2731-10-1	VILA PROGRESSO	
33715	2732-10-1	METRÔ ARTUR ALVIM	
947	2732-10-0	VILA REGINA (circular)	
948	2733-10-0	METRO ITAQUERA	
33716	2733-10-1	PQ. GUARANI	
34528	2734-10-1	JD. CAMPOS	
1760	2734-10-0	METRO ITAQUERA	
1921	2735-10-0	METRO PENHA	
34689	2735-10-1	JD. KERALUX	
34732	2736-10-1	ERMELINO MATARAZZO	
1964	2736-10-0	METRO PENHA	
222	273D-10-0	METRO ARTUR ALVIM	
32990	273D-10-1	PQ. D. JOAO NERY	
32927	273F-10-1	VILA MARA	
159	273F-10-0	METRO ITAQUERA	
223	273G-10-0	METRO ARTUR ALVIM	
32991	273G-10-1	JD. HELENA	
34621	273G-21-1	JD. NOEMIA	
1853	273G-21-0	METRÔ ARTUR ALVIM	
389	273J-10-0	METRO PENHA	
33157	273J-10-1	JD. ROMANO	
32992	273L-10-1	JD. MORENO	
224	273L-10-0	METRO ARTUR ALVIM	
390	273N-10-0	METRO VILA MATILDE	
33158	273N-10-1	CIDADE KEMEL II	
33159	273N-41-1	ITAIM PAULISTA	
391	273N-41-0	METRO VILA MATILDE	
226	273R-10-0	METRO ARTUR ALVIM	
32994	273R-10-1	JD. ROBRU	
32996	273R-42-1	JD. ROBRU	
228	273R-42-0	METRO ITAQUERA	
229	273R-51-0	TERM. A. E. CARVALHO	
32997	273R-51-1	JD. ROBRU	
32998	273U-10-1	VILA JACUI	
230	273U-10-0	METRO ARTUR ALVIM	
231	273V-10-0	METRO PENHA	
32999	273V-10-1	PARADA XV NOVEMBRO	
33160	273X-10-1	JD. DAS OLIVEIRAS	
392	273X-10-0	METRO ARTUR ALVIM	
1792	2740-10-0	METRÔ SANTANA	
34560	2740-10-1	PEDRA BRANCA	
34679	2740-41-1	HORTO FLORESTAL	
1911	2740-41-0	METRÔ PARADA INGLESA	
232	274P-10-0	METRO VILA MARIANA	
33000	274P-10-1	PENHA	
33001	2755-10-1	GUAIANAZES	
233	2755-10-0	METRO PENHA	
236	2755-42-0	METRO PENHA	
33004	2755-42-1	GUAIANAZES	
33005	2755-51-1	GUAIANAZES	
237	2755-51-0	TERM. A.E. CARVALHO	
238	2756-10-0	METRO PATRIARCA	
33006	2756-10-1	GUAIANAZES	
32912	2762-10-1	ERMELINO MATARAZZO	
144	2762-10-0	METRO TATUAPE	
240	2764-10-0	METRO PENHA	
33008	2764-10-1	VILA NOVA CURUCA	
32913	2765-10-1	VILA CISPER	
145	2765-10-0	METRO TATUAPE	
405	2766-10-0	METRO ITAQUERA	
33173	2766-10-1	JD. CAMARGO VELHO	
33164	2766-41-1	JD. INDAIA	
396	2766-41-0	METRO ITAQUERA	
241	2767-10-0	METRO TATUAPE	
33009	2767-10-1	CID. PEDRO J. NUNES	
33010	2768-10-1	VILA MARA	
242	2768-10-0	METRO PENHA	
397	2769-10-0	METRO TATUAPE	
33165	2769-10-1	JD. ROMANO	
33011	2770-10-1	ESTAÇÃO JOSÉ BONIFÁCIO	
